year;country;house;party_long;party_short;seats;government;colour;x;y;row;theta;NOMBRE;SEXO;FUENTE;TWITTER;COMENTARIO;MANDATO;PROVINCIA
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-2;2.45E-16;8;3.141592654;LAURA V. ALONSO;F;Voto 2018;;;2017 a 2021;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.857142857;2.27E-16;7;3.141592654;DANIEL FERNANDO ARROYO;M;Voto 2018;;;2017 a 2021;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.714285714;2.10E-16;6;3.141592654;EDUARDO BUCCA;M;Voto 2018;;;2017 a 2021;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.571428571;1.92E-16;5;3.141592654;WALTER CORREA;M;Voto 2018;;;2017 a 2021;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.428571429;1.75E-16;4;3.141592654;JOSE IGNACIO DE MENDIGUREN;M;Voto 2018;;;2017 a 2021;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.285714286;1.57E-16;3;3.141592654;NICOLAS DEL CAÑO;M;Voto 2018;;;2017 a 2021;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.142857143;1.40E-16;2;3.141592654;ROMINA DEL PLA;F;Voto 2018;;;2017 a 2021;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1;1.22E-16;1;3.141592654;CARLOS ALBERTO FERNANDEZ;M;Voto 2018;;;2017 a 2021;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.994407594;0.149460187;8;3.066792829;MONICA MACHA;F;Voto 2018;;;2017 a 2021;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;108;0;#32a852;-1.850799773;0.153361642;7;3.058919163;JOSEFINA MENDOZA;F;Voto 2018;;;2017 a 2021;Buenos Aires
