year;country;house;party_long;party_short;seats;government;colour;x;y;row;theta;NOMBRE;SEXO;FUENTE;TWITTER;COMENTARIO;MANDATO;PROVINCIA
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-2;2.45E-16;5;3.141592654;ANA CLAUDIA ALMIRÓN;F;Voto 2018;;;2015 a 2021;Corrientes
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.75;2.14E-16;4;3.141592654;CARLOS ALBERTO CASERIO;M;Voto 2018;;;2015 a 2021;Córdoba
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.5;1.84E-16;3;3.141592654;OSCAR ANÍBAL CASTILLO;M;Voto 2018;;;2015 a 2021;Catamarca
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.25;1.53E-16;2;3.141592654;EDUARDO RAUL COSTA;M;Voto 2018;;;2017 a 2023;Santa Cruz
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1;1.22E-16;1;3.141592654;NORMA HAYDÉE DURANGO;F;Voto 2018;;;2015 a 2021;La Pampa
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.969615506;0.347296355;5;2.967059728;JORGE TAIANA *;M;https://www.lanacion.com.ar/politica/taiana-se-mostro-partidario-de-despenalizar-el-aborto-nid2045383;;*Asumiría en reemplazo de Cristina Kirchner, quien se convertiría en vicepresidenta.;2017 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.716374241;0.341408064;4;2.945243113;ANABEL FERNÁNDEZ SAGASTI;F;Voto 2018;;;2015 a 2021;Mendoza
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.456412726;0.358973496;3;2.89993168;GLADYS ESTHER GONZALEZ;F;Voto 2018;;;2017 a 2023;Buenos Aires
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.199366217;0.352165696;2;2.855993321;NANCY SUSANA GONZÁLEZ;F;Voto 2018;;;2015 a 2021;Chubut
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.879385242;0.684040287;5;2.792526803;ANA MARIA IANNI;F;Voto 2018;;;2017 a 2023;Santa Cruz
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-0.939692621;0.342020143;1;2.792526803;DANIEL ANÍBAL LOVERA;M;Voto 2018;;;2015 a 2021;La Pampa
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.616789182;0.669696007;4;2.748893572;ALFREDO HÉCTOR LUENZO;M;Voto 2018;;;2015 a 2021;Chubut
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.328184038;0.697084758;3;2.658270707;ERNESTO FÉLIX MARTÍNEZ;M;Voto 2018;;;2015 a 2021;Córdoba
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.732050808;1;5;2.617993878;BEATRIZ GRACIELA MIRKIN;F;Voto 2018;;;2015 a 2021;Tucumán
2019;Argentina;Diputados;A favor;A favor;30;0;#32a852;-1.051566916;0.675801022;2;2.570393989;JUAN MARIO PAIS;M;Voto 2018;;;2015 a 2021;Chubut
