PROVINCIA;FRENTE;NOMBRE;POSTURA;PREGUNTALE
Buenos Aires;TODOS;LILIANA YAMBRUN;No se expresó;No disponible
Buenos Aires;TODOS;CARLOS RAMIRO GUTIERREZ;Probablemente en contra;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40Ramir_Gutierrez!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20Es%20cierto%20que%20estás%20en%20contra?%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Buenos Aires;TODOS;CLAUDIA BEATRIZ ORMACHEA;Probablemente a favor;No disponible
Buenos Aires;TODOS;ALICIA NOEMI APARICIO;No se expresó;No disponible
Buenos Aires;JxC;MARIA LUJAN REY;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40MariaLujan_Rey!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Buenos Aires;JxC;MARIANA STILMAN;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40MarianStil!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Buenos Aires;JxC;MONICA EDITH FRADE;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40monicafrade2!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Buenos Aires;CF;"ALEJANDRO ""TOPO"" RODRIGUEZ";No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40TOPOarg!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
CABA;JxC;EMILIANO BENJAMIN YACOBITTI;Probablemente a favor;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40Yaco_Emiliano!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20Es%20cierto%20que%20estás%20a%20favor?%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
CABA;JxC;MARIANA DE JESUS ZUVIC;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40MarianaZuvic!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
