Tipo;Voto;N;Tag
Salientes;6 Abstención o ausente;2;Abstención o ausente
Salientes;5 En contra;12;En contra
Salientes;4 Probablemente en contra;0;Probablemente en contra
Salientes;3 No se expresó;0;No se expresó
Salientes;2 Probablemente a favor;0;Probablemente a favor
Salientes;1 A favor;12;A favor
Entrantes;6 Abstención o ausente;0;Abstención o ausente
Entrantes;5 En contra;8;En contra
Entrantes;4 Probablemente en contra;3;Probablemente en contra
Entrantes;3 No se expresó;4;No se expresó
Entrantes;2 Probablemente a favor;0;Probablemente a favor
Entrantes;1 A favor;11;A favor
