NOMBRE;SEXO;VOTO;FUENTE
ANA CLAUDIA ALMIRÓN;F;V;"<a href=""https://www.lanacion.com.ar/politica/taiana-se-mostro-partidario-de-despenalizar-el-aborto-nid2045383"" target=""_top"">Preguntale</a>"
JOSÉ JORGE ALPEROVICH;M;C;Voto 2018
ROBERTO GUSTAVO BASUALDO;M;C;Voto 2018
INÉS IMELDA BLAS;F;C;Voto 2018
NÉSTOR PEDRO BRAILLARD POCCARD;M;C;Voto 2018
OLGA INES BRIZUELA Y DORIA DE CARA;F;C;Voto 2018
ESTEBAN JOSE BULLRICH;M;C;Voto 2018
CARLOS ALBERTO CASERIO;M;V;Voto 2018
OSCAR ANÍBAL CASTILLO;M;V;Voto 2018
MARIA EUGENIA CATALFAMO;F;A;Voto 2018
MAURICE FABIAN CLOSS;M;C;Voto 2018
JULIO CÉSAR CLETO COBOS;M;C;Voto 2018
EDUARDO RAUL COSTA;M;V;"<a href=""https://www.lanacion.com.ar/politica/taiana-se-mostro-partidario-de-despenalizar-el-aborto-nid2045383"" target=""_top"">Preguntale</a>"
NORMA HAYDÉE DURANGO;F;V;Voto 2018
SILVIA BEATRIZ ELÍAS DE PEREZ;F;C;Voto 2018
CARLOS MAURICIO ESPÍNOLA;M;C;Voto 2018
JORGE TAIANA *;M;V;"<a href=""https://www.lanacion.com.ar/politica/taiana-se-mostro-partidario-de-despenalizar-el-aborto-nid2045383"" target=""_top"">Preguntale</a>"
